"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140014","mitotic nuclear division","43/263","281/18842",0.153024911032028,10.9631002800969,20.0200730504752,3.27900304231903e-32,6.95148644971633e-29,6.29554072377471e-29,"NDC80/KNTC1/UBE2C/ZWINT/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/TUBG1/NUF2/KIF15/CDK1/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/NEK2/NCAPH/CENPF/CDC20/KIFC1/AURKA/TPX2/CHEK1/BUB1/CDCA8/KIF11/SKA1/KNL1/SPC25/KIF4A/ANLN/MKI67/CENPA/SPAG5/CDCA2/SKA3/UHRF1/CDT1",43
"GO:0000819","sister chromatid segregation","39/263","246/18842",0.158536585365854,11.357970880089,19.4558922404171,7.52851287238225e-30,7.98022364472518e-27,7.22720576435092e-27,"NDC80/KNTC1/UBE2C/RMI2/ZWINT/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/TUBG1/NUF2/KIF15/CDK1/CCNB1/DLGAP5/SPC24/PLK1/NCAPH/CENPF/CDC20/KIFC1/TPX2/CDC6/TOP2A/BUB1/CDCA8/KIF11/SKA1/KNL1/SPC25/KIF4A/CENPA/SPAG5/SKA3/UHRF1/CDT1",39
"GO:0000070","mitotic sister chromatid segregation","36/263","205/18842",0.175609756097561,12.5811369748678,19.836215043441,3.16960869865211e-29,2.23985681371416e-26,2.02850280845145e-26,"NDC80/KNTC1/UBE2C/ZWINT/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/TUBG1/NUF2/KIF15/CDK1/CCNB1/DLGAP5/SPC24/PLK1/NCAPH/CENPF/CDC20/KIFC1/TPX2/BUB1/CDCA8/KIF11/SKA1/KNL1/SPC25/KIF4A/CENPA/SPAG5/SKA3/UHRF1/CDT1",36
"GO:0000280","nuclear division","47/263","422/18842",0.111374407582938,7.97915052348945,17.2517302690691,7.81592965019907e-29,4.14244271460551e-26,3.75155975550625e-26,"NDC80/KNTC1/UBE2C/ZWINT/RAD51/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/TUBG1/NUF2/KIF15/CDK1/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/RAD54L/NEK2/NCAPH/CENPF/CDC20/KIFC1/AURKA/TPX2/BRCA2/TOP2A/CHEK1/BUB1/CDCA8/KIF11/SKA1/KNL1/SPC25/KIF4A/ANLN/MKI67/CENPA/SPAG5/CDCA2/SKA3/UHRF1/CDT1",47
"GO:0016064","immunoglobulin mediated immune response","33/263","172/18842",0.191860465116279,13.7453797860111,19.9785298667735,3.68261580200867e-28,1.56142910005168e-25,1.41409187197126e-25,"IGLC3/IGHV4-59/IGHV3-7/IGHV3-53/IGHV1-58/IGHA1/IGHV3-20/IGHV2-5/IGHV6-1/IGHV3-73/IGHV4-34/IGHV4-61/IGHV2-70/IGHV3-15/IGHV3-49/IGKC/IGLC2/IGHA2/IGHG1/IGHV3-66/IGHV3-11/IGHV1-18/IGHV3-30/IGHV3-33/IGHG3/IGHV3-21/IGHV4-28/IGHV3-23/IGHV1-24/IGHV5-51/IGHV3-64/C1QC/IGHV4-39",33
"GO:0019724","B cell mediated immunity","33/263","177/18842",0.186440677966102,13.3570922214346,19.6520384672106,9.85973016897893e-28,3.48377132637256e-25,3.15504092774173e-25,"IGLC3/IGHV4-59/IGHV3-7/IGHV3-53/IGHV1-58/IGHA1/IGHV3-20/IGHV2-5/IGHV6-1/IGHV3-73/IGHV4-34/IGHV4-61/IGHV2-70/IGHV3-15/IGHV3-49/IGKC/IGLC2/IGHA2/IGHG1/IGHV3-66/IGHV3-11/IGHV1-18/IGHV3-30/IGHV3-33/IGHG3/IGHV3-21/IGHV4-28/IGHV3-23/IGHV1-24/IGHV5-51/IGHV3-64/C1QC/IGHV4-39",33
"GO:0007059","chromosome segregation","45/263","420/18842",0.107142857142857,7.67599130907116,16.4623071544983,6.85994697877901e-27,2.0775839421445e-24,1.88154208591816e-24,"NDC80/KNTC1/UBE2C/RMI2/ZWINT/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/TUBG1/NUF2/KIF15/CDK1/CCNB1/DLGAP5/SPC24/PLK1/NEK2/NCAPH/CENPF/CDC20/KIFC1/TPX2/CDC6/HJURP/TOP2A/BUB1/CDCA8/KIF11/SKA1/KNL1/SPC25/KIF4A/MKI67/CENPA/SPAG5/CDCA2/SKA3/CENPO/UHRF1/STIL/CDT1",45
"GO:0098813","nuclear chromosome segregation","40/263","315/18842",0.126984126984127,9.09747118112137,17.2433172588918,8.95538705132951e-27,2.21720945896737e-24,2.00799246938577e-24,"NDC80/KNTC1/UBE2C/RMI2/ZWINT/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/TUBG1/NUF2/KIF15/CDK1/CCNB1/DLGAP5/SPC24/PLK1/NEK2/NCAPH/CENPF/CDC20/KIFC1/TPX2/CDC6/TOP2A/BUB1/CDCA8/KIF11/SKA1/KNL1/SPC25/KIF4A/CENPA/SPAG5/SKA3/UHRF1/CDT1",40
"GO:0048285","organelle fission","47/263","470/18842",0.1,7.16425855513308,16.1016446851538,9.41268166542753e-27,2.21720945896737e-24,2.00799246938577e-24,"NDC80/KNTC1/UBE2C/ZWINT/RAD51/NCAPG/BIRC5/KIF2C/TTK/FBXO5/TRIP13/AURKB/TUBG1/NUF2/KIF15/CDK1/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/RAD54L/NEK2/NCAPH/CENPF/CDC20/KIFC1/AURKA/TPX2/BRCA2/TOP2A/CHEK1/BUB1/CDCA8/KIF11/SKA1/KNL1/SPC25/KIF4A/ANLN/MKI67/CENPA/SPAG5/CDCA2/SKA3/UHRF1/CDT1",47
"GO:0007088","regulation of mitotic nuclear division","28/263","120/18842",0.233333333333333,16.7166032953105,20.5490559896023,1.50538613873288e-26,3.1914186141137e-24,2.89027476311707e-24,"NDC80/KNTC1/UBE2C/ZWINT/BIRC5/TTK/FBXO5/TRIP13/AURKB/NUF2/PKMYT1/CCNB1/DLGAP5/SPC24/PLK1/NEK2/CENPF/CDC20/AURKA/CHEK1/BUB1/CDCA8/SKA1/KNL1/SPC25/MKI67/CDCA2/SKA3",28
